ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-12,49.691628953879786,43.352096916516444,66.35592146080135,49.691628953879786,49.691628953879786,5.009494085957202,5.009494085957202,5.009494085957202,-1.4390651605102718,-1.4390651605102718,-1.4390651605102718,6.448559246467474,6.448559246467474,6.448559246467474,0.0,0.0,0.0,54.701123039836986
2018-05-13,49.688929767868856,45.55751165164726,67.86889395416901,49.688929767868856,49.688929767868856,7.240024550735326,7.240024550735326,7.240024550735326,0.13433360623160295,0.13433360623160295,0.13433360623160295,7.1056909445037215,7.1056909445037215,7.1056909445037215,0.0,0.0,0.0,56.928954318604184
2018-05-14,49.68623058185793,45.91880795909505,68.87619526546914,49.68623058185793,49.68623058185793,7.620747583245151,7.620747583245151,7.620747583245151,-0.145079474042017,-0.145079474042017,-0.145079474042017,7.765827057287167,7.765827057287167,7.765827057287167,0.0,0.0,0.0,57.306978165103075
2018-05-15,49.68353139584699,47.34563161287737,69.89305408828432,49.68353139584699,49.68353139584699,8.431159234739914,8.431159234739914,8.431159234739914,0.006713555026850105,0.006713555026850105,0.006713555026850105,8.424445679713063,8.424445679713063,8.424445679713063,0.0,0.0,0.0,58.11469063058691
2018-05-16,49.680832209836076,47.637246748690366,70.98310533882504,49.680832209836076,49.680832209836076,9.9363735992104,9.9363735992104,9.9363735992104,0.8592786545205587,0.8592786545205587,0.8592786545205587,9.077094944689842,9.077094944689842,9.077094944689842,0.0,0.0,0.0,59.617205809046474
2018-05-17,49.67813302382514,48.25674516741221,71.60909221110529,49.67813302382514,49.67813302382514,10.698939723995696,10.698939723995696,10.698939723995696,0.9794760800016257,0.9794760800016257,0.9794760800016257,9.719463643994072,9.719463643994072,9.719463643994072,0.0,0.0,0.0,60.37707274782083
2018-05-18,49.67543383781421,48.40532326258548,71.5232768932817,49.67543383781421,49.67543383781421,9.951791534416753,9.951791534416753,9.951791534416753,-0.39565726122526,-0.39565726122526,-0.39565726122526,10.347448795642013,10.347448795642013,10.347448795642013,0.0,0.0,0.0,59.62722537223097
2018-05-19,49.67273465180328,48.14696078390165,71.94845531078913,49.67273465180328,49.67273465180328,9.518153878457683,9.518153878457683,9.518153878457683,-1.439065160509393,-1.439065160509393,-1.439065160509393,10.957219038967077,10.957219038967077,10.957219038967077,0.0,0.0,0.0,59.19088853026096
2018-05-20,49.67003546579235,49.74766805917198,73.28953335513478,49.67003546579235,49.67003546579235,11.679606423629512,11.679606423629512,11.679606423629512,0.13433360623251195,0.13433360623251195,0.13433360623251195,11.545272817396999,11.545272817396999,11.545272817396999,0.0,0.0,0.0,61.34964188942186
2018-05-21,49.66733627978142,50.05775517847832,73.66778692610961,49.66733627978142,49.66733627978142,11.963410929616918,11.963410929616918,11.963410929616918,-0.14507947404208743,-0.14507947404208743,-0.14507947404208743,12.108490403659005,12.108490403659005,12.108490403659005,0.0,0.0,0.0,61.63074720939834
