ObservationDateTime,Temperature(F),Pressure(mb),PrecipDay(in),PrecipYr(in),WindSpeed(mph),WindDirection_West,WindDirection_South,WindDirection_East,RelativeHumidity,Visibility(mi),Conditions_Scattered,Conditions_Overcast Sky,Conditions_Low Visibility,Conditions_Broken Sky,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jue,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
2018-05-07 10:55:00+00:00,45.0,1022.35,0.0,4.44,0.0,0.0,0.0,0.0,0.872,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-07 16:55:00+00:00,70.0,1023.37,0.0,4.44,0.0,0.0,0.0,0.0,0.433,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-07 22:55:00+00:00,77.0,1020.66,0.0,4.44,4.6,0.0,0.0,0.0,0.317,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-08 04:55:00+00:00,61.0,1020.66,0.0,4.44,0.0,0.0,0.0,0.0,0.554,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-08 10:55:00+00:00,48.0,1021.0,0.0,4.44,0.0,0.0,0.0,0.0,0.935,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-08 16:55:00+00:00,77.0,1021.34,0.0,4.44,5.7,0.0,1.0,0.0,0.317,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-08 22:55:00+00:00,81.0,1016.6,0.0,4.44,6.9,0.0,1.0,0.0,0.262,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-09 03:55:00+00:00,70.0,1016.26,0.0,4.44,3.4,0.0,1.0,0.0,0.378,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-09 10:55:00+00:00,63.0,1010.5,0.0,4.44,8.1,0.0,1.0,0.0,0.485,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-09 16:55:00+00:00,77.0,1007.12,0.0,4.44,15.0,0.0,1.0,0.0,0.575,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-09 22:55:00+00:00,79.0,1003.73,0.0,4.44,20.7,1.0,0.0,0.0,0.541,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-10 03:55:00+00:00,68.0,1008.13,0.0,4.44,9.2,1.0,0.0,0.0,0.642,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-10 10:55:00+00:00,57.0,1010.84,0.0,4.44,3.4,1.0,0.0,0.0,0.879,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-10 16:55:00+00:00,70.0,1014.23,0.0,4.44,4.6,0.0,0.0,0.0,0.604,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-10 22:55:00+00:00,70.0,1013.89,0.0,4.44,12.7,0.0,0.0,1.0,0.604,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-11 04:55:00+00:00,61.0,1016.6,0.0,4.44,8.1,0.0,0.0,1.0,0.724,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-11 10:55:00+00:00,50.0,1015.92,0.0,4.44,9.2,0.0,0.0,0.0,0.936,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-11 16:55:00+00:00,59.0,1016.26,0.0,4.44,12.7,0.0,0.0,1.0,0.772,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-11 22:55:00+00:00,61.0,1012.53,0.0,4.44,12.7,0.0,0.0,0.0,0.634,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-12 04:55:00+00:00,52.0,1013.89,0.0,4.44,5.7,0.0,0.0,1.0,0.819,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-12 10:55:00+00:00,48.0,1015.24,0.0,4.44,8.1,0.0,0.0,0.0,0.935,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-12 16:55:00+00:00,55.0,1018.63,0.0,4.44,12.7,0.0,0.0,0.0,0.822,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
